loss,accuracy,top3_acc,val_loss,val_accuracy,val_top3_acc,lr,epoch
1.0784181356430054,0.683970034122467,0.8922097086906433,0.76491379737854,0.746995210647583,0.9465144276618958,0.001,1
0.6850462555885315,0.8005243539810181,0.9530336856842041,0.6307260990142822,0.7902644276618958,0.9543269276618958,0.001,2
0.5973603129386902,0.8195505738258362,0.9630711674690247,0.5057159662246704,0.8425480723381042,0.9645432829856873,0.001,3
0.5488401055335999,0.832059919834137,0.9659925103187561,0.5330816507339478,0.8197115659713745,0.9681490659713745,0.001,4
0.5145528316497803,0.8377994298934937,0.9696856141090393,0.46673569083213806,0.838942289352417,0.9783653616905212,0.001,5
0.4988948702812195,0.8435955047607422,0.9725842475891113,0.4485267400741577,0.8452237248420715,0.9800483584403992,0.001,6
0.48700588941574097,0.8503370881080627,0.9728090167045593,0.4312736690044403,0.8671875,0.9771634340286255,0.001,7
0.464311808347702,0.8553892374038696,0.971182644367218,0.43786078691482544,0.8422006964683533,0.9758161902427673,0.001,8
0.4622355103492737,0.857752799987793,0.9747565388679504,0.49398884177207947,0.8287259340286255,0.9711538553237915,0.001,9
0.4613196849822998,0.8588014841079712,0.9739325642585754,0.4067923128604889,0.8527644276618958,0.9789663553237915,0.0005,10
0.3847179412841797,0.8747006058692932,0.9806886315345764,0.3373604416847229,0.8870192170143127,0.984375,1e-05,11
0.3136601448059082,0.9016479253768921,0.9848688840866089,0.2646313011646271,0.9074519276618958,0.9903846383094788,1e-05,12
0.28071027994155884,0.9104868769645691,0.9877153635025024,0.2581472396850586,0.9153566956520081,0.9866989254951477,1e-05,13
0.2534216642379761,0.9149812459945679,0.9894381761550903,0.25850990414619446,0.9056490659713745,0.9885817170143127,1e-05,14
0.2203090488910675,0.9283146262168884,0.990337073802948,0.24567891657352448,0.9134615659713745,0.9915865659713745,1e-05,15
0.21878096461296082,0.9283894896507263,0.9898127317428589,0.23580385744571686,0.9182692170143127,0.9933894276618958,1e-05,16
0.19972950220108032,0.9347565770149231,0.9913108348846436,0.20062491297721863,0.9332932829856873,0.9903846383094788,1e-05,17
0.18157631158828735,0.9403745532035828,0.9926591515541077,0.21412865817546844,0.9242788553237915,0.9909855723381042,1e-05,18
0.17098762094974518,0.9423220753669739,0.993632972240448,0.1853538304567337,0.9350961446762085,0.9909855723381042,1e-05,19
0.17457929253578186,0.9431460499763489,0.991985023021698,0.19590766727924347,0.9302884340286255,0.9921875,1e-05,20
0.15806493163108826,0.9462921619415283,0.99505615234375,0.20445206761360168,0.9302884340286255,0.9927884340286255,1e-05,21
0.14845158159732819,0.9498127102851868,0.9946816563606262,0.14443838596343994,0.9555288553237915,0.9957932829856873,5e-06,22
0.13138923048973083,0.95498126745224,0.995280921459198,0.1680876612663269,0.9417067170143127,0.9957932829856873,5e-06,23
0.13441786170005798,0.9537827968597412,0.9954307079315186,0.14378342032432556,0.950120210647583,0.995192289352417,5e-06,24
0.12981680035591125,0.9547565579414368,0.9954307079315186,0.1822127252817154,0.9368990659713745,0.9933894276618958,5e-06,25
0.12804120779037476,0.9555056095123291,0.9959550499916077,0.17170827090740204,0.9411057829856873,0.9915865659713745,5e-06,26
0.11453431099653244,0.9604494571685791,0.9961797595024109,0.1823389232158661,0.9375,0.9957932829856873,2.5e-06,27
0.1205718144774437,0.9596557021141052,0.9958832263946533,0.15219974517822266,0.9465144276618958,0.995192289352417,2.5e-06,28
0.11310654878616333,0.9614981412887573,0.9963296055793762,0.17431411147117615,0.9465144276618958,0.9957932829856873,1.25e-06,29
0.112669937312603,0.9597752690315247,0.9964793920516968,0.14576846361160278,0.9525240659713745,0.9963942170143127,1.25e-06,30
0.11063654720783234,0.9621257781982422,0.9963323473930359,0.1481543332338333,0.9492140412330627,0.9969770312309265,1e-06,31
0.10641300678253174,0.9626966118812561,0.9955805540084839,0.15143775939941406,0.9492140412330627,0.9945586323738098,1e-06,32
0.10925962030887604,0.962172269821167,0.9958052635192871,0.13518813252449036,0.9525240659713745,0.9945913553237915,1e-06,33
0.11534535139799118,0.9595808386802673,0.9959580898284912,0.14426885545253754,0.9519230723381042,0.9957932829856873,1e-06,34
0.10640452057123184,0.9631460905075073,0.9967041015625,0.13535834848880768,0.9522370100021362,0.993954062461853,1e-06,35
0.1126721054315567,0.9606741666793823,0.9969288110733032,0.1762847751379013,0.9399038553237915,0.9927884340286255,1e-06,36
0.1067609116435051,0.9630711674690247,0.9969288110733032,0.16680502891540527,0.9399038553237915,0.996995210647583,1e-06,37
0.10089364647865295,0.9644194841384888,0.9963296055793762,0.14026977121829987,0.9537259340286255,0.995192289352417,1e-06,38
0.1107737347483635,0.9641198515892029,0.996104896068573,0.1566174328327179,0.9459134340286255,0.9957932829856873,1e-06,39
0.1110895425081253,0.9613023996353149,0.9967066049575806,0.12951086461544037,0.9498186111450195,0.9975816011428833,1e-06,40
